"Time","LSE-01","LSE-02","LSE-03","LSE-04","LSE-05","LSE-06","LSE-07","LSE-08","LSE-09","LSE-10","LSE-11","LSE-12","LSE-13","LSE-14","LSE-15","LSE-16","LSE-17","LSE-18","LSE-19","LSE-20","LSE-21","LSE-22","LSE-23","LSE-24","LSE-25","LSE-26","LSE-27","LSE-28","LSE-29","LSE-30"
2022-05-25 12:27:27,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:27:50,,,,,,,,,,,,,,,,9.16,,,,,,,,,,,,,,
2022-05-25 12:27:57,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:29:03,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,
2022-05-25 12:29:10,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,
2022-05-25 12:33:12,,,,,,,,,,,,,,,,,,10.7,,,,,,,,,,,,
2022-05-25 12:33:32,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,
2022-05-25 12:33:50,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,
2022-05-25 12:36:03,,,,,,,,,,,,,,,,,,,,,9.73,,,,,,,,,
2022-05-25 12:36:29,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,
2022-05-25 12:36:36,,,,,,,,,,9.83,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:37:26,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:37:43,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,
2022-05-25 12:38:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.6
2022-05-25 12:38:40,,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:39:28,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,
2022-05-25 12:39:30,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,
2022-05-25 12:39:55,,,,,8.82,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 12:41:14,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,
2022-05-25 12:41:31,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,
2022-05-25 12:41:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,
